TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min]
02.11.2023 12:37:20;NaN;75,82;53,91;100,02;59,53
02.11.2023 12:52:20;NaN;94,85;57,90;106,72;30,71
02.11.2023 13:07:20;NaN;91,49;58,42;115,27;36,89
02.11.2023 13:22:20;NaN;99,16;53,17;97,78;31,88
02.11.2023 13:37:20;NaN;88,98;55,23;104,24;23,81
02.11.2023 13:52:20;NaN;68,25;52,97;96,27;37,04
02.11.2023 14:07:20;NaN;76,28;50,82;85,56;28,15
02.11.2023 14:22:20;NaN;29,40;45,52;74,81;24,69
02.11.2023 14:37:20;NaN;62,97;48,97;82,81;26,63
02.11.2023 14:52:20;NaN;97,88;54,25;97,72;30,20
02.11.2023 15:07:20;NaN;96,92;51,89;90,57;28,19
02.11.2023 15:22:20;NaN;99,64;53,51;97,86;20,95
02.11.2023 15:37:20;NaN;103,66;55,23;100,09;42,94
02.11.2023 15:52:20;NaN;86,32;56,37;106,42;28,31
02.11.2023 16:07:20;NaN;95,15;54,51;97,61;36,25
02.11.2023 16:22:20;NaN;98,55;60,77;114,05;25,06
02.11.2023 16:37:21;NaN;52,68;49,77;83,69;22,88
02.11.2023 16:52:21;NaN;43,64;44,16;70,98;20,77
02.11.2023 17:07:21;NaN;84,61;52,28;98,17;42,47
02.11.2023 17:22:21;NaN;104,82;59,54;114,99;34,63
02.11.2023 17:37:21;NaN;39,58;45,73;75,89;23,85
02.11.2023 17:52:21;NaN;105,99;56,64;106,59;27,23
02.11.2023 18:07:21;NaN;34,11;34,74;51,05;16,18
02.11.2023 18:22:21;NaN;39,66;42,01;64,84;23,18
02.11.2023 18:37:21;NaN;25,95;40,49;57,37;18,46
02.11.2023 18:52:21;NaN;83,21;48,35;81,00;25,32
02.11.2023 19:07:21;NaN;83,83;51,24;93,40;24,82
02.11.2023 19:22:21;NaN;82,85;53,36;97,96;38,49
02.11.2023 19:37:21;NaN;102,38;51,49;89,57;17,68
02.11.2023 19:52:21;NaN;109,65;52,06;91,03;18,17
02.11.2023 20:07:21;NaN;95,96;51,45;91,21;40,17
02.11.2023 20:22:21;NaN;105,64;53,37;98,15;19,78
02.11.2023 20:37:21;NaN;109,61;51,87;94,49;39,89
02.11.2023 20:52:21;NaN;114,77;49,92;87,65;24,85
02.11.2023 21:07:21;NaN;100,93;53,81;95,46;19,89
02.11.2023 21:22:21;NaN;87,24;55,31;101,20;28,45
02.11.2023 21:37:21;NaN;107,53;50,30;85,34;41,53
02.11.2023 21:52:21;NaN;59,69;44,32;71,40;15,53
02.11.2023 22:07:21;NaN;78,44;49,06;82,83;29,14
02.11.2023 22:22:21;NaN;110,82;56,85;108,25;22,76
02.11.2023 22:37:21;NaN;96,12;59,42;113,33;17,68
02.11.2023 22:52:21;NaN;102,59;55,18;106,35;45,84
02.11.2023 23:07:21;NaN;92,26;53,50;99,54;35,82
02.11.2023 23:22:21;NaN;80,48;52,42;96,95;25,32
02.11.2023 23:37:21;NaN;90,81;52,26;99,66;15,32
02.11.2023 23:52:21;NaN;89,43;58,47;112,71;20,24
03.11.2023 00:07:21;NaN;52,85;43,06;68,00;24,65
03.11.2023 00:22:21;NaN;100,06;49,02;88,71;16,86
03.11.2023 00:37:21;NaN;66,65;47,96;82,23;16,43
03.11.2023 00:52:21;NaN;54,86;42,77;66,65;18,69
03.11.2023 01:07:21;NaN;82,01;51,19;94,11;36,17
03.11.2023 01:22:21;NaN;92,30;51,31;96,14;35,33
